size,rerun,setup,run
1191.6542553882393,30,1241.720904624232,254.09719189174504
1191.6542553882393,31,1025.0766902200378,170.0526801995759
1285.5098951932837,0,918.4573408689921,169.43860238994915
1285.5098951932837,1,1116.7257485669957,203.54257946856063
1285.5098951932837,2,1107.3722616393886,203.77750570376833
1285.5098951932837,3,1234.3732288123817,189.92852634813045
1285.5098951932837,4,1041.9585294585434,191.3933147616937
1285.5098951932837,5,980.5463222906398,179.26349759085386
1285.5098951932837,6,979.698409719857,180.58515213925742
1285.5098951932837,7,925.496571009371,170.598453438607
1285.5098951932837,8,924.0745671750675,170.35185868178306
1285.5098951932837,9,942.9153400781485,194.23343292309536
1285.5098951932837,10,1318.8144302421683,262.02987721798434
1285.5098951932837,11,1290.434251967061,234.07132152394504
1285.5098951932837,12,1338.8718409991063,216.6517745537266
1285.5098951932837,13,1189.2463883135945,217.3923367256396
1285.5098951932837,14,1192.8013978993533,218.10333864279139
1285.5098951932837,15,1284.8784798748313,235.77181407415705
1285.5098951932837,16,1194.1938414788956,218.77388968500674
1285.5098951932837,17,1107.009759567843,203.9922065015078
1285.5098951932837,18,1105.2019166187613,203.55191428585366
1285.5098951932837,19,1104.3119973701598,202.5593120470291
1285.5098951932837,20,1032.869529020905,189.96353191297928
1285.5098951932837,21,1135.4918429317324,253.23025611642976
1285.5098951932837,22,1133.567314766488,226.88117850399556
1285.5098951932837,23,1134.3094327412832,226.00992888998024
1285.5098951932837,24,1058.3232420746504,213.42426147466455
1285.5098951932837,25,1059.764693444981,240.94719236169615
1285.5098951932837,26,1070.451503442608,214.19282809845663
1285.5098951932837,27,1064.370647877646,213.7408673611862
1285.5098951932837,28,1064.4002081324072,213.73931155830402
1285.5098951932837,29,997.0611698848762,200.79269787432483
1285.5098951932837,30,949.9919094876994,189.49601314688715
1285.5098951932837,31,1294.8379520250437,236.98145081504438
1386.757680063378,0,1247.3448136382021,236.53231182033838
1386.757680063378,1,1215.5519484290585,219.53799454428557
1386.757680063378,2,1151.2479959202649,219.1860945641984
1386.757680063378,3,1066.8222871730459,204.78992406735458
1386.757680063378,4,1133.256388331793,191.90591393576227
1386.757680063378,5,998.1916955648203,192.91402084592997
1386.757680063378,6,935.5643157070568,181.15493688019
1386.757680063378,7,943.1792005220574,181.31358031383587
1386.757680063378,8,1194.6658192830664,269.2957864007882
1386.757680063378,9,1150.3754570352128,220.48120186796177
1386.757680063378,10,939.7366380119425,180.9876401683453
1386.757680063378,11,1149.2043800523,222.32867676341928
1386.757680063378,12,887.070623574105,170.37223113788858
1386.757680063378,13,1067.4063834514693,205.05384905241993
1386.757680063378,14,1067.063136749581,204.40917982660457
1386.757680063378,15,1072.8291044560908,234.5701809887459
1386.757680063378,16,1000.7754202136979,192.57510078314112
1386.757680063378,17,1006.3524580128659,193.26015197388455
1386.757680063378,18,997.5152976522758,192.93925957400998
1386.757680063378,19,1303.7317377015515,244.7507627897097
1386.757680063378,20,941.5379620903395,181.0647985656185
1386.757680063378,21,1269.9983748563122,263.94012830220777
1386.757680063378,22,1205.7117289039165,244.8026824589029
1386.757680063378,23,1174.92913392449,244.00225422550795
1386.757680063378,24,1094.1680884944901,228.63691657039132
1386.757680063378,25,1106.4643968150763,227.65332728178709
1386.757680063378,26,1022.6227843462804,214.22488173018291
1386.757680063378,27,1017.9449663732777,214.98637021168295
1386.757680063378,28,1235.4306917713993,237.51518000242606
1386.757680063378,29,1003.4355821533321,203.07945941004576
1386.757680063378,30,907.3625609504417,191.70111968505583
1386.757680063378,31,910.3558741007322,191.0831314003536
1495.9798212409826,0,1114.124653511296,222.33187592335972
1495.9798212409826,1,888.230563763702,193.99258992628563
1495.9798212409826,2,883.9617896069071,231.23172858912326
1495.9798212409826,3,1114.4655672006108,220.41072701533776
1495.9798212409826,4,883.5901268397324,191.52531065714538
1495.9798212409826,5,1037.4885930697212,206.89316500489238
1495.9798212409826,6,1073.6682254628251,207.09905013491004
1495.9798212409826,7,1040.4431783771174,206.69663828987552
1495.9798212409826,8,1040.4431783771174,205.92256367766623
1495.9798212409826,9,1090.6410479832098,194.28002695845313
1495.9798212409826,10,978.6181465907421,195.1303058070975
