size,add
10194233,9778006901
10194233,9915096120
10194233,10096649020
10194233,9862682751
10194233,9750355801
10194233,9984200550
11546381,11286841876
11546381,11297389248
11546381,11460001813
11546381,11202651621
11546381,11254450311
11546381,11373788003
11546381,11281313002
11546381,11207725676
13077876,12689348008
13077876,12740148346
13077876,12631292211
13077876,12767585184
13077876,12723075766
13077876,12631220064
13077876,12645267639
13077876,12730348405
14812506,14386441098
14812506,14409210833
14812506,14389698378
14812506,14328399582
14812506,14400858850
14812506,14408183080
14812506,14381013660
14812506,14360346560
